BEFOLKNING_BARN3_I_FAM__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN3_I_FAM__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN3_I_HUSH__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN3_I_HUSH__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN3_I_HUSH__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_HUSH__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_HUSH__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_HUSH__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_REGSTAT_FAMNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_REGSTAT_FAMNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN_I_REGSTAT_FAMNR__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BARN__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BYDEL__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_BYDEL__6_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_DOEDS_DATO__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_DOEDS_DATO__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_DOEDS_DATO__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_DOEDS_DATO__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_ELDST_I_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ELDST_I_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ELDST_I_HUSHNR__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ELDST_I_REGSTAT_FAMNR__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ELDST_I_REGSTAT_FAMNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_ELDST_I_REGSTAT_FAMNR__2_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FAR_FNR__15_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_FAR_FNR__1_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_FAR_FNR__3_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_FAR_FNR__5_0, ident.UnitType: PERSON, measure.UnitType: PERSON, measure.format: RandomUInt48
BEFOLKNING_FODELAND__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FODELAND__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FODELAND__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FODELAND__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FOEDEKOMMNR__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FOEDEKOMMNR__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FOEDEKOMMNR__4_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FOEDEKOMMNR__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FOEDSELS_AAR_MND__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMM
BEFOLKNING_FOEDSELS_AAR_MND__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMM
BEFOLKNING_FOEDSELS_AAR_MND__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMM
BEFOLKNING_FOEDSELS_AAR_MND__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMM
BEFOLKNING_FORELDREKODE__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FORELDREKODE__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FORELDREKODE__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_FORSTDATO__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_FORSTDATO__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_FORSTDATO__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_FORSTDATO__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: YYYYMMDD
BEFOLKNING_HUSHNR__10_0, ident.UnitType: PERSON, measure.UnitType: HUSHOLDNING, measure.format: RandomUInt48
BEFOLKNING_HUSHNR__1_0, ident.UnitType: PERSON, measure.UnitType: HUSHOLDNING, measure.format: RandomUInt48
BEFOLKNING_HUSHNR__2_0, ident.UnitType: PERSON, measure.UnitType: HUSHOLDNING, measure.format: RandomUInt48
BEFOLKNING_HUSHNR__4_0, ident.UnitType: PERSON, measure.UnitType: HUSHOLDNING, measure.format: RandomUInt48
BEFOLKNING_IMPUTERT__10_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_IMPUTERT__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_IMPUTERT__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNALDER__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNALDER__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNALDER__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNALDER__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNGRUNN1__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNGRUNN1__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INNGRUNN1__8_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INVKAT__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INVKAT__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INVKAT__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_INVKAT__5_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KJOENN__15_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KJOENN__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
BEFOLKNING_KJOENN__3_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
